high jump men,rio 2016,Tikhomir Ivanov,BUL,10.,2.29
high jump men,rio 2016,Trevor Barry,BAH,11.,2.25
high jump men,rio 2016,Dimitrios Chondrokoukis 1,CYP,12.,2.25
high jump men,rio 2016,Luis Joel Castro,PUR,13.,2.25
high jump men,rio 2016,Jaroslav Baba,CZE,14.,2.20
high jump men,rio 2016,Brandon Starc,AUS,15.,2.20
javelin throw men,rio 2016,Thomas Rohler,GER,1.,
javelin throw men,rio 2016,Julius Yego,KEN,2.,
javelin throw men,rio 2016,Keshorn Walcott,TTO,3.,
javelin throw men,rio 2016,Johannes Vetter,GER,4.,
javelin throw men,rio 2016,Dmytro Kosynskyy,UKR,5.,
javelin throw men,rio 2016,Antti Ruuskanen,FIN,6.,
javelin throw men,rio 2016,Vitezslav Vesely,CZE,7.,
javelin throw men,rio 2016,Jakub Vadlejch,CZE,8.,
long jump men,rio 2016,Jeff Henderson,USA,1.,8.38
long jump men,rio 2016,Luvo Manyonga,RSA,2.,8.37
long jump men,rio 2016,Greg Rutherford,GBR,3.,8.29
long jump men,rio 2016,Jarrion Lawson,USA,4.,8.25
long jump men,rio 2016,Jianan Wang 1,CHN,5.,8.17
long jump men,rio 2016,Emiliano Lasa,URU,6.,8.10
long jump men,rio 2016,Henry Frayne,AUS,7.,8.06
long jump men,rio 2016,Kafetien Gomis,FRA,8.,8.05
long jump men,rio 2016,Rushwal Samaai,RSA,9.,7.97
long jump men,rio 2016,Fabrice Lapierre,AUS,10.,7.87
long jump men,rio 2016,Changzhou Huang,CHN,11.,7.86
long jump men,rio 2016,Damar Forbes 1,JAM,12.,7.82
marathon men,rio 2016,Eliud Kipchoge Rotich,KEN,1.,2:08:44
marathon men,rio 2016,Feyisa Lilesa,ETH,2.,2:09:54
marathon men,rio 2016,Galen Rupp,USA,3.,2:10:05
marathon men,rio 2016,Ghirmay Ghebreslassie,ERI,4.,2:11:04
marathon men,rio 2016,Alphonce Felix Simbu,TAN,5.,2:11:15
marathon men,rio 2016,Jared Ward,USA,6.,2:11:30
marathon men,rio 2016,Tadesse Abraham,SUI,7.,2:11:42
marathon men,rio 2016,Munyo Solomon Mutai,UGA,8.,2:11:49
marathon men,rio 2016,Callum Hawkins,GBR,9.,2:11:52
marathon men,rio 2016,Eric Gillis,CAN,10.,2:12:29
marathon men,rio 2016,Abdi Nageeye,NED,11.,2:13:01
marathon men,rio 2016,Mumin Gala,DJI,12.,2:13:04
marathon men,rio 2016,Lemi Berhanu,ETH,13.,2:13:29
marathon men,rio 2016,Stephen Kiprotich,UGA,14.,2:13:32
marathon men,rio 2016,Paulo Roberto Paula,BRA,15.,2:13:56
marathon men,rio 2016,Satoru Sasaki,JPN,16.,2:13:57
marathon men,rio 2016,Kaan Kigen Ozbilen,TUR,17.,2:14:11
marathon men,rio 2016,Bayron Piedra,ECU,18.,2:14:12
marathon men,rio 2016,Sondre Nordstad Moen,NOR,19.,2:14:17
marathon men,rio 2016,Oleksandr Sitkovskyy,UKR,20.,2:14:24
marathon men,rio 2016,Amanuel Mesel,ERI,21.,2:14:37
marathon men,rio 2016,Koen Naert,BEL,22.,2:14:53
marathon men,rio 2016,Reid Coolsaet,CAN,23.,2:14:58
marathon men,rio 2016,Lusapho April,RSA,24.,2:15:24
